solver,time (seconds),memory_usage (MB),peak_memory_usage (MB),status,num_vars,num_clauses,satisfied_clauses,satisfaction_ratio,solved,time_budget,threads_used,cnf_file,satisfied_clauses_mean,satisfied_clauses_stdev,time (seconds)__median,time (seconds)__stdev,memory_usage (MB)__median,memory_usage (MB)__stdev,peak_memory_usage (MB)__median,peak_memory_usage (MB)__stdev,satisfaction_ratio__median,satisfaction_ratio__stdev,repetitions
CP-SAT-MAXSAT,18.296284800197466,3823.325,6822.26875,UNKNOWN,14280,6781327,4658124,0.678497379642657,False,1.0,4,vlsat2_14280_6781327.cnf,4601112.6,1198275.2306862976,18.11105850001331,1.924607711769457,3826.296875,344.274009941062,6657.0,1018.1015382142676,0.6869044952411232,0.1767021750589962,5
Gurobi-MAXSAT,2.6563970084069295,3929.1875,6203.471875,FEASIBLE,14280,6781327,6780375,0.9998596144972806,False,1.0,4,vlsat2_14280_6781327.cnf,6780375.0,0.0,2.640028124966193,0.0541489918554494,3749.578125,390.1464939521616,6227.015625,172.96498817329783,0.9998596144972806,0.0,5
CP-SAT-MAXSAT,22.029633183195255,4587.996875,7103.375,UNKNOWN,14424,7585190,5891731,0.6969657187229324,False,1.0,4,vlsat2_14424_7585190.cnf,5286617.4,1396131.020010407,22.702759374980815,3.21283128914692,4706.75,221.9546496559742,7242.59375,716.3128470498298,0.7767413868340807,0.1840601250608629,5
Gurobi-MAXSAT,3.212210549786687,5115.91875,7383.05625,FEASIBLE,14424,7585190,7583988,0.9998415333037142,False,1.0,4,vlsat2_14424_7585190.cnf,7583988.0,0.0,3.218105915992055,0.1010848405292446,5184.59375,808.0289591065922,7375.515625,319.40673567251014,0.9998415333037142,0.0,5
CP-SAT-MAXSAT,2.758863442018628,3280.096875,3919.609375,UNKNOWN,14637,1778453,1054069,0.7030088509507982,False,1.0,4,vlsat2_14637_1778453.cnf,1250268.2,325436.2755405427,2.765887624991592,0.0214761957510389,3280.296875,1.5172912876446962,3918.90625,2.2978579954356406,0.5926887019224011,0.1829884037084717,5
Gurobi-MAXSAT,1.555880991590675,2078.55625,2665.69375,FEASIBLE,14637,1778453,1778166,0.9998386237927008,False,1.0,4,vlsat2_14637_1778453.cnf,1778166.0,0.0,1.5568985419813544,0.0124000857805173,2073.0625,8.205569576227632,2660.859375,8.216318259548343,0.9998386237927008,0.0,5
CP-SAT-MAXSAT,2.0267688248073683,2153.71875,2959.284375,UNKNOWN,14640,1323246,944137,0.62945045743573,False,1.0,4,vlsat2_14640_1323246.cnf,832917.8,205170.85577318235,2.021965750027448,0.0333226949656743,2154.65625,1.7981313542640591,2958.921875,1.5571941162311782,0.7135007398473149,0.1550511815438568,5
Gurobi-MAXSAT,1.2986119082197547,1550.075,2071.80625,FEASIBLE,14640,1323246,1322880,0.9997234074389796,False,1.0,4,vlsat2_14640_1323246.cnf,1322880.0,0.0,1.288005875016097,0.0248603590569849,1548.65625,4.432964231188878,2069.65625,4.686674406462166,0.9997234074389796,0.0,5
CP-SAT-MAXSAT,3.2385340916109273,3024.703125,3927.784375,UNKNOWN,15249,1937993,1330023,0.7506925979608802,False,1.0,4,vlsat2_15249_1937993.cnf,1454837.0,316996.3239542377,3.2248589170048945,0.031918542388684,3037.296875,374.7569839203405,3908.875,146.80458933961117,0.6862888565644973,0.1635693854179234,5
Gurobi-MAXSAT,1.4888085750048048,2188.8625,2798.846875,FEASIBLE,15249,1937993,1937694,0.9998457166769952,False,1.0,4,vlsat2_15249_1937993.cnf,1937694.0,0.0,1.4860055000171997,0.024551751451583,2188.828125,0.4156661163872995,2799.03125,1.0275976991264626,0.9998457166769952,0.0,5
CP-SAT-MAXSAT,2.243389283400029,2260.86875,3092.91875,UNKNOWN,15440,1409906,1130045,0.7747600194622903,False,1.0,4,vlsat2_15440_1409906.cnf,1092338.8,154376.33187668375,2.245363665977493,0.0246325093816751,2276.34375,40.80257853419392,3111.65625,49.108141340295475,0.8015037881958088,0.1094940598002162,5
Gurobi-MAXSAT,1.2909933079965412,1650.88125,2189.053125,FEASIBLE,15440,1409906,1409520,0.999726222882944,False,1.0,4,vlsat2_15440_1409906.cnf,1409520.0,0.0,1.2885545000317506,0.0098487515097523,1651.6875,4.189446842215569,2190.703125,4.071873201265912,0.999726222882944,0.0,5
CP-SAT-MAXSAT,0.94786905819783,265.98125,513.0375,UNKNOWN,1560,54564,44819,0.812235173374386,False,1.0,4,vlsat2_1560_54564_3.cnf,44318.8,6509.198583543139,0.9463620830210856,0.0373469116038791,264.671875,6.068943901382266,511.828125,6.462931410890494,0.8214023898541163,0.1192947471509262,5
Gurobi-MAXSAT,1.0162322498159484,423.034375,679.278125,FEASIBLE,1560,54564,54541,0.999578476651272,False,1.0,4,vlsat2_1560_54564_3.cnf,54541.0,0.0,1.012750500056427,0.0059580671008404,424.03125,3.1090098717779107,678.40625,3.674706355190166,0.999578476651272,0.0,5
CP-SAT-MAXSAT,2.9016709497780537,2830.65625,3605.7,UNKNOWN,15704,1804650,1320093,0.6747757182833236,False,1.0,4,vlsat2_15704_1804650.cnf,1217734.0,420440.00376688706,2.9170206660055555,0.0415962117463806,2768.671875,228.6186082049712,3607.15625,166.7032276630577,0.7314953037985205,0.2329759253965517,5
Gurobi-MAXSAT,1.4103564415941947,2016.44375,2602.53125,FEASIBLE,15704,1804650,1804348,0.9998326545313496,False,1.0,4,vlsat2_15704_1804650.cnf,1804348.0,0.0,1.3933221659972332,0.044632226288544,2015.6875,3.785534762421289,2600.609375,3.4813608038919206,0.9998326545313496,0.0,5
CP-SAT-MAXSAT,0.9477791749988682,276.93125,531.18125,UNKNOWN,1586,57751,33323,0.6648300462329657,False,1.0,4,vlsat2_1586_57751_3.cnf,38394.6,12627.880396171004,0.94796437502373,0.0172188009854307,276.03125,6.896615522418406,532.328125,2.780758383516986,0.5770116534778619,0.218660809270333,5
Gurobi-MAXSAT,1.0178387668100186,424.38125,601.9,FEASIBLE,1586,57751,57719,0.999445897040744,False,1.0,4,vlsat2_1586_57751_3.cnf,57719.0,0.0,1.0173422920051962,0.0029370362840725,418.890625,13.53245700448093,604.265625,28.301472397098884,0.999445897040744,0.0,5
CP-SAT-MAXSAT,2.322109691600781,2210.78125,3114.415625,UNKNOWN,15960,1464039,905113,0.6223779557785004,False,1.0,4,vlsat2_15960_1464039.cnf,911185.6,142851.83158538782,2.3107051249826327,0.0691959740407716,2373.015625,224.72907272520325,3228.84375,211.1779811478453,0.6182301154545746,0.097573788393197,5
Gurobi-MAXSAT,1.31850157501176,1710.8375,2250.81875,FEASIBLE,15960,1464039,1463640,0.9997274662765132,False,1.0,4,vlsat2_15960_1464039.cnf,1463640.0,0.0,1.3243111250340007,0.0129729692976512,1710.90625,4.1987459762931,2250.625,4.057096767355629,0.9997274662765132,0.0,5
CP-SAT-MAXSAT,3.817301933595445,2743.6875,3955.959375,UNKNOWN,16269,2203672,1507295,0.7223013225198669,False,1.0,4,vlsat2_16269_2203672.cnf,1591715.2,169787.06231541908,3.809035665995907,0.0660242102289139,2516.296875,578.3201376751678,3928.609375,413.1464772570642,0.6839924453366926,0.0770473384039998,5
Gurobi-MAXSAT,1.5259991332073697,2436.48125,3096.39375,FEASIBLE,16269,2203672,2203353,0.9998552416149046,False,1.0,4,vlsat2_16269_2203672.cnf,2203353.0,0.0,1.5089633340248838,0.077092626049841,2442.140625,12.825347978953632,3101.3125,12.683104226193995,0.9998552416149046,0.0,5
CP-SAT-MAXSAT,2.437728449795395,2572.003125,3431.66875,UNKNOWN,16297,1562268,1079244,0.7151577066162784,False,1.0,4,vlsat2_16297_1562268.cnf,1117268.0,389222.8833091652,2.4440602909890004,0.0234758989120489,2581.75,21.14649481980554,3440.421875,20.91230527031274,0.690818732765441,0.2491396375712523,5
Gurobi-MAXSAT,1.3422103833872825,1861.715625,2407.29375,FEASIBLE,16297,1562268,1561889,0.9997574039793428,False,1.0,4,vlsat2_16297_1562268.cnf,1561889.0,0.0,1.3480747919529676,0.0187129343771639,1863.765625,4.205787377048143,2409.34375,4.700131418541667,0.9997574039793428,0.0,5
CP-SAT-MAXSAT,2.533320775011089,2357.16875,3203.378125,UNKNOWN,16676,1598591,1136673,0.6843410228132148,False,1.0,4,vlsat2_16676_1598591.cnf,1093981.4,320962.6733458269,2.507023832993582,0.059981838322073,2303.296875,272.66338130896116,3241.703125,307.2168811848739,0.7110467905799545,0.200778481391317,5
Gurobi-MAXSAT,1.3992590330075472,1871.6375,2434.19375,FEASIBLE,16676,1598591,1598212,0.9997629162180944,False,1.0,4,vlsat2_16676_1598591.cnf,1598212.0,0.0,1.397641666000709,0.0077859592575968,1869.34375,5.250132531809316,2433.1875,5.803048010393978,0.9997629162180944,0.0,5
